ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
11;Y4751;LPC1112FHN33/101;NXP 32Bit-Flash-Microcontroller ARM-Cort;NXP 32Bit Flash Microcontrollers ARM-Cor;MC 32bit 1,8V 16kB Flash 50MHz HVQFN32;MC 32bit 1,8V 16kB Flash 50MHz HVQFN32;2,52;5;2,14;25;1,94;100;1,87;200;1,8;500
12;Y4751;LPC1112FHN33/201;NXP 32Bit-Flash-Microcontroller ARM-Cort;NXP 32Bit Flash Microcontrollers ARM-Cor;MC 32bit 1,8V 16kB Flash 50MHz HVQFN32;MC 32bit 1,8V 16kB Flash 50MHz HVQFN32;2,79;5;2,36;25;2,15;100;2,07;200;1,99;500
13;Y4751;LPC1112FHN33/202;NXP 32Bit-Flash-Microcontroller ARM-Cort;NXP 32Bit Flash Microcontrollers ARM-Cor;MC 32bit 1,8V 16kB Flash 50MHz HVQFN32;MC 32bit 1,8V 16kB Flash 50MHz HVQFN32;2,64;5;2,24;25;2,03;100;1,96;200;1,88;500
14;U8311;SPA03N60C3;INFINEON Leistungs-MOSFETs SPA_, SPP_ TO;INFINEON Power MOSFETs SPA_, SPP_ TO220_;N-Ch 600V 3,2A 29,7W 1,4R TO220-Fullpak;N-Ch 600V 3,2A 29,7W 1,4R TO220-Fullpak;0,87;1;0,65;10;0,54;50;0,5;100;0,45;200
15;R2262;WEI11210400;WEICON Elektronik-Sprays: Reiniger;WEICON Electronic Sprays: Cleaner;Elektroreiniger 400 ml;Electro Contact Cleaner 400 ml;13,13;1;9,85;6;8,21;12;7,39;24;6,57;60
16;R2262;WEI11212500;WEICON Elektronik-Sprays: Reiniger;WEICON Electronic Sprays: Cleaner;Schnellreiniger 500 ml;Fast Cleaner 500 ml;13,66;1;10,25;6;8,54;12;7,69;24;6,83;60
17;Y4751;LPC1113FBD48/301;NXP 32Bit-Flash-Microcontroller ARM-Cort;NXP 32Bit Flash Microcontrollers ARM-Cor;MC 32bit 1,8V 24kB Flash 50MHz LQFP48;MC 32bit 1,8V 24kB Flash 50MHz LQFP48;3,49;5;2,96;25;2,69;100;2,59;200;2,49;500
18;Y3755;ATXMEGA128A4U-AU;MICROCHIP 8/16Bit-AVR-ISP-Flash-Microcon;MICROCHIP 8/16Bit AVR ISP Flash Microcon;MC 8/16bit 1,6V 136kB Flash 32MHz TQFP44;MC 8/16bit 1,6V 136kB Flash 32MHz TQFP44;4,13;5;3,71;20;3,16;100;3,03;200;2,89;500
19;E3347;B3F-3120;Serie B3F 6x6mm Leiterplattentaster;Series B3F 6x6mm Tact Switches;Mini-Taster print st. 3,85mm 1N;Tact Switch PC Vertical 3,85mm 1N;23,08;100;18,29;500;15,9;1000;14,92;3000;13,95;5000
20;R2262;WEI11217400;WEICON Elektronik-Sprays: Reiniger;WEICON Electronic Sprays: Cleaner;Citrusreiniger 400 ml;Citrus Cleaner 400 ml;14,22;1;10,67;6;8,89;12;8;24;7,11;60
21;E2411;DS1;Drehschalter 6 mm Achse, nicht brückend;Rotary Switches 6mm Axis, Non Shorting;Drehschalter 1x12 Lötöse;Rotary Switch 1x12 Solder Lug;2,05;5;1,55;50;1,3;100;1,24;200;1,18;500
22;R2274;WEI11551400;WEICON Technische Sprays;WEICON Technical Sprays;Isolierspray 400 ml;Isolation Spray 400 ml;24,82;1;18,62;6;15,52;12;13,96;24;12,41;60
23;Y4751;LPC1114FBD48/301;NXP 32Bit-Flash-Microcontroller ARM-Cort;NXP 32Bit Flash Microcontrollers ARM-Cor;MC 32bit 1,8V 32kB Flash 50MHz LQFP48;MC 32bit 1,8V 32kB Flash 50MHz LQFP48;3,79;5;3,2;25;2,91;100;2,8;200;2,7;500
24;Y3757;ATTINY25-20SSU;MICROCHIP 8Bit-AVR-ISP-Flash-Microcontro;MICROCHIP 8Bit AVR ISP Flash Microcontro;MC 8bit 2,7V 2kB Flash 20MHz SO8;MC 8bit 2,7V 2kB Flash 20MHz SO8;0,8;5;0,72;50;0,61;200;0,58;500;0,56;1000
25;R2274;WEI11610400;WEICON Technische Sprays;WEICON Technical Sprays;Kälte-Spray 400 ml;Freeze Spray 400 ml;18,1;1;13,57;6;11,31;12;10,18;24;9,05;60
26;R2274;WEI11620400;WEICON Technische Sprays;WEICON Technical Sprays;Druckluft-Spray 400 ml;Compressed-Air Spray 400 ml;18,1;1;13,57;6;11,31;12;10,18;24;9,05;60
27;R2275;WEI11152400;WEICON Rostlöser und Trennmittel;WEICON Rust Remover and Relaease Agents;Kontakt-Spray 400 ml;Contact Spray 400 ml;6,57;1;4,92;6;4,1;12;3,69;24;3,28;60
28;R2275;WEI11251550;WEICON Rostlöser und Trennmittel;WEICON Rust Remover and Relaease Agents;W 44 T® Multi-Spray 500 ml;W 44 T® Multi-Spray 500 ml;11,23;1;8,42;6;7,02;12;6,32;24;5,61;60
29;R2275;WEI11253400;WEICON Rostlöser und Trennmittel;WEICON Rust Remover and Relaease Agents;W 44 T®-Fluid 400 ml;W 44 T®-Fluid 400 ml;11,16;1;8,37;6;6,97;12;6,28;24;5,58;60
30;R2276;WEI11301400;WEICON Schmier- und Funktionsöle;WEICON Lubricants and Multifunctional Oi;PTFE-Fluid 400 ml;PTFE-Fluid 400 ml;24,57;1;18,43;6;15,36;12;13,82;24;12,28;60
31;R2276;WEI11351400;WEICON Schmier- und Funktionsöle;WEICON Lubricants and Multifunctional Oi;Silicon-Fluid 400 ml;Silicone Fluid 400 ml;16,52;1;12,39;6;10,32;12;9,29;24;8,26;60
32;R2287;WEI11553400;WEICON Technische Sprays;WEICON Technical Sprays;Universal Dicht-Spray 400 ml weiß;Allround Sealing Spray 400ml WH;19,26;1;14,44;6;12,04;12;10,83;24;9,63;60
33;M5271;HNP12-120V2;HN-Power HNP12-V2 Stecker-SNT 12W;HN-Power HNP12-V2 Plug-In SPS 12W;Stecker-SNT Slim 12W 12V/1A;SPS Plug-in Slim 12W 12V/1A;6,07;1;5,13;5;4,67;20;4,46;50;4,24;100
34;W4729;DEM16216FGH-PRGB;display elektronik LCD-Dot-Matrix-Module;display elektronik LCD-Dot-Matrix-Module;FSTN 16x2 schw./RGB LED-Backl.;FSTN 16x2 Black/RGB LED-Backl.;21,86;1;16,81;5;14,3;10;13,42;25;12,53;50
35;R2287;WEI11554400;WEICON Technische Sprays;WEICON Technical Sprays;Universal Dicht-Spray 400 ml sw;Allround Sealing Spray 400ml BK;19,26;1;14,44;6;12,04;12;10,83;24;9,63;60
36;Y4455;MSP430F1232IRHBR;TI 16Bit-Flash/FRAM-Microcontroller MSP4;TI 16Bit Flash/FRAM Microcontrollers MSP;MC 16bit 1,8V 8kB Flash 8MHz VQFN32;MC 16bit 1,8V 8kB Flash 8MHz VQFN32;2,11;5;1,79;25;1,63;100;1,57;200;1,5;500
37;E3344;DTS644N;Leiterplattentaster 6x6mm 1,6N;Tact Switches 6x6mm 1,6N;Mini-Taster print liegend 7,3mm 1,6N;Tact Switch PC Horizontal 7,3mm 1,6N;12,62;100;9,47;500;7,89;1000;7,1;3000;6,31;5000
38;E3346;DTS63R;Leiterplattentaster 6x6mm 2,6N;Tact Switches 6x6mm 2,6N;Mini-Taster print liegend 7,0mm 2,6N;Tact Switch PC Horizontal 7,0mm 2,6N;12,25;100;9,19;500;7,66;1000;6,89;3000;6,12;5000
39;M5271;HNP12-090V2;HN-Power HNP12-V2 Stecker-SNT 12W;HN-Power HNP12-V2 Plug-In SPS 12W;Stecker-SNT Slim 12W 9V/1,33A;SPS Plug-in Slim 12W 9V/1,33A;6,07;1;5,13;5;4,67;20;4,46;50;4,24;100
40;R2287;WEI11555400;WEICON Technische Sprays;WEICON Technical Sprays;Universal Dicht-Spray 400 ml grau;Allround Sealing Spray 400ml GR;19,26;1;14,44;6;12,04;12;10,83;24;9,63;60
41;E4355;ITS-LZ1335Z-24;Elektromagnete Zylinderform Serie ITS-LZ;Solenoid Cylindrical Type ITS-LZ;El. Zylindermagnet 1335 Z 24V;Solenoid Cylindric 1335 Z 24V;12,57;1;11,6;5;10,73;10;10,54;25;10,35;50
42;C6625;CAX02200/40;F&T Elkos axial 40V 20%;F&T Alu-Electrolytic Caps Axial 40V 20%;Elko axial 2200uF 40V 18x30mm;El-Capacitor 2200uF 40V 18x30mm;149,53;25;118,53;100;103,03;500;96,71;1000;90,39;3000
43;C6629;CAX00022/450;F&T Elkos axial 450V 20%;F&T Alu-Electrolytic Caps Axial 450V 20%;Elko axial 22uF 450V 16x30mm;El-Capacitor 22uF 450V 16x30mm;137,07;25;108,65;100;94,44;500;88,65;1000;82,86;3000
44;M5271;HNP12-050V2;HN-Power HNP12-V2 Stecker-SNT 12W;HN-Power HNP12-V2 Plug-In SPS 12W;Stecker-SNT Slim 12W 5V/2,4A;SPS Plug-in Slim 12W 5V/2,4A;6,07;1;5,13;5;4,67;20;4,46;50;4,24;100
45;R2287;WEI11640150;WEICON Technische Sprays;WEICON Technical Sprays;Rauchmelder-Testspray 150 ml;Smoke Detector Test Spray 150 ml;19,35;1;14,51;6;12,09;12;10,88;24;9,67;60
46;C5422;CL10C471JB8NNNC;SMD-Keramik-Vielschicht-Ko's NPO;SMD Ceramic Multilayer Capacitors NPO;SMD-Vs-Kond 470pF 50V NPO 0603;SMD MLC Capacitor 470pF 50V NPO 0603;1,12;500;0,77;4000;0,59;8000;0,52;16000;0,46;40000
47;M5255;HNP07-120V2;HN-Power HNP07-V2 Stecker-SNT 7,5W;HN-Power HNP07-V2 Plug-In SPS 7,5W;Stecker-SNT Slim 7,5W 12V/0,63A;SPS Plug-in Slim 7,5W 12V/0,63A;5,19;1;4,39;5;3,99;20;3,81;50;3,63;100
48;U8324;IRLZ34NPBF;INFI Leistungs-MOSFETs IRF_, IRL_ TO220A;INFI Power MOSFETs IRF_, IRL_ TO220AB;N-LogL 55V 30A 68W 0,035R TO220AB;N-LogL 55V 30A 68W 0,035R TO220AB;35,58;10;26,69;50;22,24;200;21,41;500;20,59;1000
49;C5442;CL21B474KOFNNNG;SMD-Keramik-Vielschicht-Ko's X7R;SMD Ceramic Multilayer Capacitors X7R;SMD-Vs-Kond 470nF 16V X7R 0805;SMD MLC Capacitor 470nF 16V X7R 0805;1,76;500;1,2;4000;0,93;8000;0,82;16000;0,71;40000
50;G2633;HF101BL;PVC-Messleitungen 4mm-Stecker 100cm;PVC Test Leads, 4mm Jack, 100cm;PVC-Messleitung 1m blau;PVC Test Lead 1m Blue;3,36;5;2,84;25;2,58;50;2,46;100;2,35;200
51;Y3755;ATXMEGA256A3U-AU;MICROCHIP 8/16Bit-AVR-ISP-Flash-Microcon;MICROCHIP 8/16Bit AVR ISP Flash Microcon;MC 8/16bit 1,6V 264kB Flash 32MHz TQFP64;MC 8/16bit 1,6V 264kB Flash 32MHz TQFP64;5,61;5;5,05;20;4,3;100;4,11;200;3,93;500
52;K9156;FE80FI30;Ersatzfilterelemente;Filter Elements for Plastic Finger Guard;Ersatzelement für LFT80FI30;Replacement Element for LFT80FI30;31,9;5;26,1;50;23,2;100;21,75;200;20,3;500
53;Y7795;LM555D-SMD;Timer-ICs ICM755_, TS55_ DIP/DIL, SO;Timer ICs ICM755_, TS55_ DIP/DIL, SO;IC OSC SGL TIMER 100KHZ 8-SOIC;Timer NMOS SO8;30;25;20;100;10,56;300;10,07;1000;9,6;3000
54;R3112;UB2500HT-30;Contact-Universal-Schnellkleber + Grundi;Universal Instant Bonding Adhesives;Cyan-Kleber hochviskos 30g Pen;Cyan Adhesive High Viscosity 30g Pen;37,24;1;27,93;5;23,27;10;20,95;25;18,62;50
55;R3112;UB250SW-30;Contact-Universal-Schnellkleber + Grundi;Universal Instant Bonding Adhesives;Cyan-Kleber hochviskos 30g Pen schwarz;Cyan Adhesive High Viscosity 30g  Pen BK;27,54;1;20,65;5;17,21;10;15,49;25;13,77;50
56;R3112;UB807;Contact-Universal-Schnellkleber + Grundi;Universal Instant Bonding Adhesives;Cyan-Kleber mittelviskos 3g Tube;Cyan Adhesive Medium Viscosity 3g Tube;5,06;1;3,79;5;3,16;10;2,84;25;2,53;50
57;R3112;UB807-12;Contact-Universal-Schnellkleber + Grundi;Universal Instant Bonding Adhesives;Cyan-Kleber mittelviskos 12g Pen;Cyan Adhesive Medium Viscosity 12g Pen;7,26;1;5,45;5;4,54;10;4,08;25;3,63;50
58;R3112;UB807-30;Contact-Universal-Schnellkleber + Grundi;Universal Instant Bonding Adhesives;Cyan-Kleber mittelviskos 30g Pen;Cyan Adhesive Medium Viscosity 30g Pen;13,9;1;10,42;5;8,69;10;7,82;25;6,95;50
59;G8233;KDI6M3X10-ESS;Distanzbolzen Polyamid M3 2xInnengewinde;Spacers Polyamid M3 2x Inside Thread;PA-Distanzbolzen 10mm M3 2xInnen;PA Spacers 10mm M3 2xInside;13,86;100;10,39;500;8,66;1000;8,13;3000;7,6;5000
60;K1151;MEC0252V2-A99;SUNON DC-Axiallüfter Serie ME/EE 120x120;Sunon DC Axial Fan Series ME/EE 120x120x;Lüfter 24V 120x25 V 157,9m³/h 40,5dBA;Fan 24V 120x25 V 157,9m³/h 40,5dBA;8,6;1;6,54;20;5,51;40;5,16;240;4,82;480
61;K1251;EE92251B1-A99;SUNON DC-Axiallüfter Serie ME/EE 92x92x2;Sunon DC Axial Fan ME/EE Series 92x92x25;Lüfter 12V 92x25 K 87,4m³/h 34dBA;Fan 12V 92x25 B 87,4m³/h 34dBA;4,62;1;3,51;25;2,96;50;2,77;250;2,59;500
62;K1561;MF60151V31000UA99;SUNON DC-Axiallüfter Serie ME 60x60x15mm;SUNON DC Axial Fan ME Series 60x60x15mm;Lüfter 12V 60x15 V 29,9m³/h 21,3dBA;Fan 12V 60x15 V 29,9m³/h 21,3dBA;3,91;5;3,01;50;2,56;100;2,41;200;2,26;500
63;A6495;TL072CP;FET- und CMOS-Operationsverstärker CA_,;FET and CMOS Operational Amplifiers CA_,;2xOp-Amp JFET +-18V LN 13V/us DIP8;2xOp-Amp JFET +-18V LN 13V/us DIP8;27,77;100;23,14;300;20,92;500;20,27;1000;19,62;3000
64;R5138;SACXPLUS0307AS05-2;Lötdraht Fluitin AS SACX0307 3,3%, bleif;Solder Wire Fluitin AS SACX0307 3,3%;AS SACXPLUS0307 3,3% 0,50mm 250g;AS SACXPLUS0307 3,3% 0,50mm 250g;28,81;1;22,84;5;19,85;10;18,63;25;17,41;50
65;C6399;EEUEE2G820;Alu Elko Serie EE;Alu El-Cap Series EE;Elko 82uF 400V 18x31,5mm RM7,5;El-Capacitor 82uF 400V 18x31,5mm P7,5;179,17;10;151,57;100;137,88;500;131,57;1000;125,25;2000
66;C6399;EEUEE2E221;Alu Elko Serie EE;Alu El-Cap Series EE;Elko 220uF 250V 18x40mm RM7,5;El-Capacitor 220uF 250V 18x40mm P7,5;235,33;10;199,08;100;181,11;500;172,81;1000;164,52;2000
67;C6399;EEUEE2D331;Alu Elko Serie EE;Alu El-Cap Series EE;Elko 330uF 200V 18x40mm RM7,5;El-Capacitor 330uF 200V 18x40mm P7,5;235,33;10;199,08;100;181,11;500;172,81;1000;164,52;2000
68;C6397;EEUFC1J182;Alu Elko Serie UFC;Alu El-Cap Series UFC;Elko 1800uF 63V 18x40mm RM7,5;El-Capacitor 1800uF 63V 18x40mm P7,5;169,29;25;143,21;100;130,28;500;124,31;1000;118,35;5000
69;C6397;EEUFC1J122;Alu Elko Serie UFC;Alu El-Cap Series UFC;Elko 1200uF 63V 18x31,5mm RM7,5;El-Capacitor 1200uF 63V 18x31,5mm P7,5;125,58;25;106,23;100;96,64;500;92,22;1000;87,79;5000
70;C6399;EEUEE2G470S;Alu Elko Serie EE;Alu El-Cap Series EE;Elko 47uF 400V 18x20mm RM7,5;El-Capacitor 47uF 400V 18x20mm P7,5;103,84;10;87,84;100;79,91;500;76,25;1000;72,59;2000
71;C6399;EEUEE2E151;Alu Elko Serie EE;Alu El-Cap Series EE;Elko 150uF 250V 18x31,5mm RM7,5;El-Capacitor 150uF 250V 18x31,5mm P7,5;163,14;10;138,01;100;125,55;500;119,8;1000;114,05;2000
72;C6399;EEUEE2D151;Alu Elko Serie EE;Alu El-Cap Series EE;Elko 150uF 200V 16x25mm RM7,5;El-Capacitor 150uF 200V 16x25mm P7,5;93,61;10;79,19;100;72,04;500;68,74;1000;65,44;2000
73;C6399;EEUEE2C331;Alu Elko Serie EE;Alu El-Cap Series EE;Elko 330uF 160V 18x31,5mm RM7,5;El-Capacitor 330uF 160V 18x31,5mm P7,5;163,14;10;138,01;100;125,55;500;119,8;1000;114,05;2000
74;C6363;ECA2EM101;Panasonic Elektrolyt-Kondensatoren radia;Panasonic Electrolytic Capacitors Radial;Elko 100uF 250V 16x31,5mm RM7,5;El-Capacitor 100uF 250V 16x31,5mm P7,5;92,12;10;77,93;50;70,89;250;67,65;500;64,4;1000
75;A6496;TLC272AID-GURT;SMD-FET- und CMOS-Operationsverstärker F;SMD FET and CMOS Operational Amplifiers;2xOp-Amp CMOS 4..16V LP LN SO8;2xOp-Amp CMOS 4..16V LP LN SO8;72,45;100;60,38;300;54,58;500;52,89;1000;51,2;3000
76;E1268;ERFSD014602RZ;ECE ERFSL/SD Selbstrückstellende Sicheru;ECE ERFSL/SD Series PTC Fuses;SMD-PTC-Sicherung 60V 0,14A 1812;SMD PTC Fuse 60V 0,14A 1812;19,18;10;13,12;100;10,09;1000;9,25;3000;8,41;5000
77;M5275;HNP18-240V2;HN-Power HNP18-V2 Stecker-SNT 18W;HN-Power HNP18-V2 Plug-In SPS 18W;Stecker-SNT 18W 24V/0,75A;SPS Plug-in 18W 24V/0,75A;8;1;6,77;5;6,16;20;5,88;50;5,6;100
78;E1268;ERFSL185332RZ;ECE ERFSL/SD Selbstrückstellende Sicheru;ECE ERFSL/SD Series PTC Fuses;SMD-PTC-Sicherung 33V 1,85A 2920;SMD PTC Fuse 33V 1,85A 2920;19,18;10;13,12;100;10,09;1000;9,25;3000;8,41;5000
79;B5465;MAX660CSA+T;MAXIM DC/DC-Wandler MAX_ DIP/DIL, SO, µM;MAXIM DC/DC Converters MAX_ DIP/DIL, SO,;U-Conv 1,5-5,5V SO8;U-Conv 1,5-5,5V SO8;1,55;5;1,27;25;1,13;100;1,09;200;1,05;500
80;C6397;EEUFC1V182;Alu Elko Serie UFC;Alu El-Cap Series UFC;Elko 1800uF 35V 16x25mm RM7,5;El-Capacitor 1800uF 35V 16x25mm P7,5;78,79;25;66,65;100;60,64;500;57,86;1000;55,08;5000
81;R3113;WEI14050319;WEICON Klebeband;WEICON Adhesive Tape;Montage-Klebeband grau;Mounting Tape Grey;18,33;1;13,75;6;11,46;12;10,31;24;9,16;60
82;R3113;WEI14100319;WEICON Klebeband;WEICON Adhesive Tape;Montage-Klebeband transparent;Mounting Tape Transparent;14,04;1;10,53;6;8,77;12;7,9;24;7,02;60
83;E1268;ERFSL050602RZ;ECE ERFSL/SD Selbstrückstellende Sicheru;ECE ERFSL/SD Series PTC Fuses;SMD-PTC-Sicherung 60V 0,50A 2920;SMD PTC Fuse 60V 0,50A 2920;19,18;10;13,12;100;10,09;1000;9,25;3000;8,41;5000
84;V1771;S1ML;TSC SMD-Si-Gleichrichterdioden 1A S1_L,;TSC SMD Si-Rectifier Diodes 1A S1_L, S1_;SMD-Si-Gleichr 1000V 1A Sub-SMA;SMD Si-Rectifier Diode 1000V 1A Sub-SMA;3,45;500;2,59;2500;2,15;7500;2,06;15000;1,96;30000
85;E4355;ITS-LZ1949Z-12;Elektromagnete Zylinderform Serie ITS-LZ;Solenoid Cylindrical Type ITS-LZ;El. Zylindermagnet 1949 Z 12V;Solenoid Cylindric 1949 Z 12V;14,05;1;13,18;5;12,33;10;12,09;25;11,86;50
86;R3321;AN30243-20;Schraubensicherungslack;Anaerobic Adhesives and Sealants;WEICONLOCK AN302-43 20ml Pen;WEICONLOCK AN302-43 20ml Pen;18;1;13,5;5;11,25;10;10,13;25;9;50
87;T4421;AWM-S4-28;WEICON Abisolierwerkzeuge;WEICON Cable Strippers;Kabelmesser No.S4-28;Cable Stripper No.S4-28;18,47;1;13,85;6;11,54;12;10,39;24;9,23;60
88;T4421;AWM16;WEICON Abisolierwerkzeuge;WEICON Cable Strippers;Universal-Kabelmesser No.4-16;Universal Cable Stripper No.4-16;10,51;1;7,88;6;6,57;12;5,91;24;5,25;60
89;Y3856;PIC16C73B-04/SP;MICROCHIP 8Bit-Microcontroller PIC16x7_;MICROCHIP 8Bit Microcontrollers PIC16x7_;4Kx14 OTP 22I/O 4MHz SDIP28;4Kx14 OTP 22I/O 4MHz SDIP28;6,42;1;5,09;10;4,43;50;4,26;100;4,1;200
90;C6735;EEEFK1C220UR;Alu Elko SMD Serie FK_P/R;Alu El-Cap SMD Series FK_P/R;SMD-Elko 22uF 16V 4x5,8mm;SMD El-Capacitor 22uF 16V 4x5,8mm;6,04;100;5,11;500;4,65;1000;4,43;3000;4,22;5000
91;V5874;TLD5S10AH;TSC SMD-Überspannungsschutzdioden 3600W;TSC SMD Transient Voltage Suppressor Dio;SMD-TVS-Diode unip 3600W 10V DO218AB;SMD TVS Diode Unip 3600W 10V DO218AB;2,17;25;1,77;150;1,58;300;1,5;750;1,43;1500
92;V5874;TLD5S15AH;TSC SMD-Überspannungsschutzdioden 3600W;TSC SMD Transient Voltage Suppressor Dio;SMD-TVS-Diode unip 3600W 15V DO218AB;SMD TVS Diode Unip 3600W 15V DO218AB;2,17;25;1,77;150;1,58;300;1,5;750;1,43;1500
93;V5874;TLD5S18AH;TSC SMD-Überspannungsschutzdioden 3600W;TSC SMD Transient Voltage Suppressor Dio;SMD-TVS-Diode unip 3600W 18V DO218AB;SMD TVS Diode Unip 3600W 18V DO218AB;2,17;25;1,77;150;1,58;300;1,5;750;1,43;1500
94;T4421;AWM28;WEICON Abisolierwerkzeuge;WEICON Cable Strippers;Universal-Kabelmesser No.4-28H;Universal Cable Stripper No.4-28H;11,53;1;8,65;6;7,21;12;6,49;24;5,77;60
95;T4421;AWM28MULTI;WEICON Abisolierwerkzeuge;WEICON Cable Strippers;Kabelmesser No.S4-28 Multi;Cable Stripper No.S4-28 Multi;19,86;1;14,89;6;12,41;12;11,17;24;9,93;60
96;C2110;PT6HE500;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 500R;Trimmer Side Adjust P2,5/5 500R;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
97;C2110;PT6HK001;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 1K;Trimmer Side Adjust P2,5/5 1K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
98;C2110;PT6HK002.5;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 2K5;E-Regler stehend RM2,5/5 2K5;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
99;C2110;PT6HK005;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 5K;Trimmer Side Adjust P2,5/5 5K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
100;C2110;PT6HK010;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 10K;Trimmer Side Adjust P2,5/5 10K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
101;C2110;PT6HK025;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 25K;Trimmer Side Adjust P2,5/5 25K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
102;C2110;PT6HK050;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 50K;Trimmer Side Adjust P2,5/5 50K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
103;C2110;PT6HK100;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 100K;Trimmer Side Adjust P2,5/5 100K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
104;C2110;PT6HK250;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 250K;Trimmer Side Adjust P2,5/5 250K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
105;C2110;PT6HK500;Trimmer PT6h stehend RM2,5/5mm;Trimmers PT6h Side Adjust P2,5/5mm;E-Regler stehend RM2,5/5 500K;Trimmer Side Adjust P2,5/5 500K;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
106;C2115;PT6VE500;Trimmer PT6v liegend RM5/5mm;Trimmers PT6v Top Adjust P5/5mm;E-Regler liegend RM5/5 500R;Trimmer Top Adjust P5/5 500R;30,07;25;23,85;100;20,75;500;19,8;1000;18,85;3000
